date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Change-close
2011-01-03,-,-,-,2569.66,-,-,
2011-01-04,-,-,-,2570.12,-,-,0.46
2011-01-05,-,-,-,2533.88,-,-,-36.24
2011-01-06,-,-,-,2498.92,-,-,-34.96
2011-01-07,-,-,-,2420.21,-,-,-78.71
2011-01-08,-,-,-,2350.5,-,-,-69.71
2011-01-09,-,-,-,2331.13,-,-,-19.37
2011-01-10,-,-,-,2381.74,-,-,50.61
2011-01-11,-,-,-,2364.08,-,-,-17.66
2011-01-12,-,-,-,2332.94,-,-,-31.14
2011-01-13,-,-,-,2314.5,-,-,-18.44
2011-01-14,-,-,-,2332.31,-,-,17.81
2011-01-15,-,-,-,2337.7,-,-,5.39
2011-01-16,-,-,-,2339.27,-,-,1.57
2011-01-17,-,-,-,2350.09,-,-,10.82
2011-01-18,-,-,-,2387.33,-,-,37.24
2011-01-19,-,-,-,2366.66,-,-,-20.67
2011-01-20,-,-,-,2308.61,-,-,-58.05
2011-01-28,-,-,-,2239.51,-,-,-69.1
2011-01-31,-,-,-,2221.32,-,-,-18.19
2011-02-01,-,-,-,2181.79,-,-,-39.53
2011-02-02,-,-,-,2185.97,-,-,4.18
2011-02-03,-,-,-,2224.34,-,-,38.37
2011-02-04,-,-,-,2197.71,-,-,-26.63
2011-02-07,-,-,-,2184.71,-,-,-13
2011-02-08,-,-,-,2117.39,-,-,-67.32
2011-02-09,-,-,-,2025.54,-,-,-91.85
2011-02-10,-,-,-,2019.08,-,-,-6.46
2011-02-11,-,-,-,2076.07,-,-,56.99
2011-02-14,-,-,-,2174.62,-,-,98.55
2011-02-15,-,-,-,2175.4,-,-,0.78
2011-02-16,-,-,-,2181.77,-,-,6.37
2011-02-17,-,-,-,2202.26,-,-,20.49
2011-02-18,-,-,-,2154.24,-,-,-48.02
2011-02-21,-,-,-,2153.51,-,-,-0.73
2011-02-22,-,-,-,2139.54,-,-,-13.97
2011-02-23,-,-,-,2128.83,-,-,-10.71
2011-02-24,-,-,-,2053.23,-,-,-75.6
2011-02-25,-,-,-,2050.7,-,-,-2.53
2011-02-28,-,-,-,2066.98,-,-,16.28
2011-03-01,-,-,-,2135.9,-,-,68.92
2011-03-03,-,-,-,2131.47,-,-,-4.43
2011-03-04,-,-,-,2122.93,-,-,-8.54
2011-03-07,-,-,-,2092.11,-,-,-30.82
2011-03-08,-,-,-,2112.81,-,-,20.7
2011-03-09,-,-,-,2131.16,-,-,18.35
2011-03-10,-,-,-,2127.74,-,-,-3.42
2011-03-11,-,-,-,2110.06,-,-,-17.68
2011-03-14,-,-,-,2114.08,-,-,4.02
2011-03-15,-,-,-,2079.02,-,-,-35.06
2011-03-16,-,-,-,2116.1,-,-,37.08
2011-03-17,-,-,-,2110.79,-,-,-5.31
2011-03-18,-,-,-,2096.12,-,-,-14.67
